Frequency_Hz,ADS_Re,ADS_Im,DGV3_Re,DGV3_Im
100000,0.8911443983,-0.447714357,0.8702339727,-0.4339595812
200000,0.5805942024,-0.7955899153,0.5778546913,-0.7670650287
300000,0.1379320573,-0.9502526341,0.1730830126,-0.9349805754
400000,-0.3195085098,-0.8674665007,-0.2600999771,-0.9061078955
500000,-0.6674587959,-0.5769979136,-0.6321852592,-0.6894190373
600000,-0.8228993895,-0.1701419208,-0.8671520053,-0.33244591
700000,-0.7677109098,0.2409037679,-0.9181721326,0.08886918727
800000,-0.5394814084,0.5621763464,-0.7770474784,0.4861653132
900000,-0.2062928584,0.7366748093,-0.4755250021,0.77709727
1000000,0.1559201144,0.7447843325,-0.07830206965,0.902354142
1100000,0.4767908653,0.5971740906,0.3307469511,0.8377362633
1200000,0.6982031911,0.3278614916,0.6661986492,0.5988239109
1300000,0.7790024954,-0.01061944666,0.8588636175,0.2373329217
1400000,0.7008334969,-0.3519541513,0.8700248811,-0.1700107902
1500000,0.4749615785,-0.6242606401,0.6992011356,-0.5376965703
1600000,0.1462485949,-0.7642417686,0.3838767363,-0.7893319923
1700000,-0.2117148178,-0.7354259481,-0.008674120945,-0.8734811379
1800000,-0.5137905351,-0.542840795,-0.3956964457,-0.7741575488
1900000,-0.6884161165,-0.2345779743,-0.6963616245,-0.513832348
2000000,-0.699093521,0.1129586349,-0.8486176413,-0.1483955471
2100000,-0.5519909097,0.418971643,-0.8219739437,0.2448096437
2200000,-0.2886349984,0.619612179,-0.6235892622,0.5833248884
2300000,0.0292843982,0.6795108252,-0.2964489749,0.7968418928
2400000,0.3351656618,0.5937318216,0.08992144791,0.8417842701
2500000,0.5690897898,0.3842475397,0.4542068121,0.7101849195
2600000,0.6860141954,0.09441504963,0.720392259,0.4310525474
2700000,0.6621838859,-0.2175601195,0.8336056015,0.06400310384
2800000,0.5003712252,-0.4871616295,0.7714135326,-0.3134515275
2900000,0.2324169004,-0.6552766493,0.5482485576,-0.6222518924
3000000,-0.08408850591,-0.6822693059,0.2120962173,-0.7983323402
3100000,-0.3773891421,-0.5603053764,-0.1658045069,-0.8058978168
3200000,-0.5798944931,-0.3178886343,-0.5060410061,-0.6446871077
3300000,-0.6468723083,-0.01282361268,-0.737698656,-0.3497509764
3400000,-0.5677013617,0.2842722824,-0.813127422,0.01615114721
3500000,-0.3658092301,0.5088406429,-0.7177311243,0.3758905014
3600000,-0.08941530163,0.6166014992,-0.4727703047,0.6542124052
3700000,0.2015575548,0.5901558061,-0.1306448999,0.7934658367
3800000,0.4478836452,0.4390714081,0.2363010693,0.7655339153
3900000,0.6009235682,0.1960149775,0.5510639025,0.5774983798
4000000,0.6301444697,-0.08933312574,0.7481272617,0.2698992566
4100000,0.5286630903,-0.3583031957,0.7870883683,-0.09199248008
4200000,0.3161461052,-0.5535781867,0.6609313663,-0.4320133281
4300000,0.037174785,-0.6313872205,0.3972555802,-0.6791253241
4400000,-0.2468075132,-0.5730208045,0.05225192013,-0.7822472694
4500000,-0.4716884333,-0.3913569067,-0.3012610038,-0.7208046502
4600000,-0.5872349491,-0.1286515849,-0.5891961012,-0.5088210813
4700000,-0.5699908407,0.1546146878,-0.7517148809,-0.1917403823
4800000,-0.4278343183,0.3957214729,-0.75565436,0.1633051625
4900000,-0.1956098388,0.544589463,-0.6012847241,0.4816985636
5000000,0.07503742863,0.5733425901,-0.3220225611,0.6970107049
