Frequency_Hz,ADS_Re,ADS_Im,DGV3_Re,DGV3_Im
100000,0.8909103846,-0.4481418545,0.8699245852,-0.4343174012
200000,0.579661799,-0.7961465631,0.5769795688,-0.7675045379
300000,0.1360785757,-0.9502410754,0.1714954796,-0.9350380577
400000,-0.3219012195,-0.8659969763,-0.2622557456,-0.9051828025
500000,-0.6692919482,-0.5735227512,-0.6343452736,-0.6869453013
600000,-0.8227316647,-0.1649685901,-0.8683167337,-0.3281800109
700000,-0.7644177446,0.246521256,-0.9171000573,0.09453213553
800000,-0.5327840124,0.5663970362,-0.7726761925,0.4920074096
900000,-0.1969504587,0.7376174756,-0.4675149636,0.78118618
1000000,0.1661997811,0.7410376878,-0.06749070901,0.9025134586
1100000,0.4856134555,0.5882111935,0.3422209042,0.8322910519
1200000,0.7028966606,0.3143683499,0.6752556039,0.5873797216
1300000,0.7772184925,-0.0265500742,0.8623041909,0.221271028
1400000,0.6913468544,-0.3669329331,0.8655833837,-0.1875843481
1500000,0.4584842907,-0.6342462039,0.6864652086,-0.5526301548
1600000,0.1258125344,-0.76578862,0.3647061483,-0.7975762034
1700000,-0.2313152405,-0.7271561696,-0.03044412115,-0.8723423306
1800000,-0.5275668562,-0.5263177049,-0.4152278245,-0.7632195142
1900000,-0.6930616954,-0.2138930885,-0.7091669305,-0.4952032983
2000000,-0.6941026926,0.1327442239,-0.8518461859,-0.1261707386
2100000,-0.5394857385,0.4336103002,-0.8151989646,0.2656980528
2200000,-0.2722505061,0.6267789164,-0.6088443616,0.5984819395
2300000,0.04569987771,0.6789790065,-0.2775339442,0.8035517753
2400000,0.3484934433,0.5869043265,0.1085910652,0.8395698377
2500000,0.5773882847,0.3734616885,0.4687949479,0.7006652732
2600000,0.6885787415,0.08230145809,0.7284990589,0.417237049
2700000,0.6593823297,-0.2285530354,0.8345738806,0.04934021333
2800000,0.4933864241,-0.4950657637,0.7661071211,-0.3259174719
2900000,0.2229855102,-0.6587594842,0.538517843,-0.6303756676
3000000,-0.09389222442,-0.6807104687,0.2002180884,-0.8009725475
