Frequency_Hz,ADS_Re,ADS_Im,DGV3_Re,DGV3_Im
100000,-0.4872036948,0.2761418607,-0.8277865889,-0.01327180955
200000,0.4702647364,-0.3565546549,0.7605178211,0.02439286415
300000,-0.2449601945,0.2962434289,-0.7106495733,-0.03420474328
400000,0.2717423955,-0.3465730452,0.6698149548,0.04301156496
500000,-0.1272916769,0.2693130024,-0.6347637536,-0.05099037617
600000,0.1623192269,-0.3105042959,0.6038256952,0.05826123679
700000,-0.05779922255,0.2358518933,-0.5760071822,-0.06491259213
800000,0.09510497832,-0.2722325417,0.5506602582,0.07101312567
900000,-0.01383569497,0.2036016041,-0.5273346387,-0.07661816757
1000000,0.05160894379,-0.2369950619,0.5057024293,0.08177351271
1100000,0.01483573285,0.174537842,-0.48551613,-0.08651785974
1200000,0.02267663012,-0.2059184053,0.4665835258,0.09088445352
1300000,0.03371929326,0.1490113888,-0.4487518371,-0.09490223807
1400000,0.0031874262,-0.1789543245,0.4318972698,0.09859669329
1500000,0.04607727372,0.1268448679,-0.4159178729,-0.1019904593
1600000,-0.009952774265,-0.1557076438,0.400728508,0.1051038129
1700000,0.05396770837,0.1076960683,-0.3862572136,-0.1079550392
1800000,-0.0187159098,-0.1357078891,0.3724425198,0.1105607254
1900000,0.05874619828,0.09119156931,-0.3592314258,-0.1129359971
2000000,-0.02440850054,-0.1185028006,0.3465778511,0.115094711
2100000,0.06133407494,0.07697696914,-0.3344414316,-0.1170496136
2200000,-0.02792193306,-0.1036882279,0.3227865705,0.118812473
2300000,0.06237235337,0.06473414025,-0.3115816825,-0.1203941903
2400000,-0.02987827483,-0.09091411418,0.3007985842,0.1218048931
2500000,0.06231501325,0.05418492977,-0.2904119979,-0.1230540161
2600000,-0.03071938003,-0.07988158441,0.2803991444,0.12415037
2700000,0.06148793971,0.04508934953,-0.2707394059,-0.1251022013
2800000,-0.03076346431,-0.0703371064,0.2614140446,0.1259172441
2900000,0.06012743363,0.03724173448,-0.2524059668,-0.1266027656
3000000,-0.03024216575,-0.06206612649,0.2436995231,0.1271656061
3100000,0.05840606897,0.0304663962,-0.2352803387,-0.1276122142
3200000,-0.02932546186,-0.05488711252,0.2271351687,0.1279486784
3300000,0.05645045039,0.02461342641,-0.2192517729,-0.1281807546
3400000,-0.02813879235,-0.04864631376,0.2116188088,0.1283138913
3500000,0.05435364145,0.01955490645,-0.2042257377,-0.1283532521
3600000,-0.02677504646,-0.04321328685,0.1970627441,0.1283037355
3700000,0.0521840029,0.01518159565,-0.1901206641,-0.1281699934
3800000,-0.02530309003,-0.03847713282,0.1833909233,0.1279564475
3900000,0.04999156459,0.01140008983,-0.176865482,-0.1276673043
4000000,-0.02377391496,-0.03434335602,0.1705367865,0.1273065687
4100000,0.04781267306,0.008130407218,-0.1643977264,-0.1268780564
4200000,-0.02222512715,-0.03073125065,0.158441596,0.1263854057
4300000,0.0456734158,0.00530394863,-0.1526620606,-0.1258320872
4400000,-0.02068425579,-0.02757172827,0.1470531258,0.1252214144
4500000,0.04359216575,0.002861778411,-0.1416091104,-0.1245565518
4600000,-0.01917121545,-0.02480551064,0.1363246218,0.1238405232
4700000,0.04158148631,0.0007531770468,-0.1311945341,-0.1230762197
4800000,-0.01770015222,-0.0223816242,0.1262139678,0.1222664064
4900000,0.03964956625,-0.001065577694,-0.1213782722,-0.1214137289
5000000,-0.01628083709,-0.02025614334,0.1166830089,0.1205207192
5100000,0.03780130632,-0.002632238044,-0.112123937,-0.1195898021
5200000,-0.01491972377,-0.0183911387,0.1076969998,0.1186232993
5300000,0.03603914559,-0.003979453227,-0.103398312,-0.1176234355
5400000,-0.01362075549,-0.01675379503,0.09922414911,0.1165923422
5500000,0.03436369182,-0.005135502339,-0.09517093691,-0.1155320621
5600000,-0.01238598274,-0.01531566909,0.09123524201,0.1144445536
5700000,0.03277420368,-0.006124914996,-0.08741376336,-0.1133316943
5800000,-0.01121603782,-0.01405206396,0.08370332425,0.1121952843
5900000,0.03126895996,-0.006968997929,-0.08010086508,-0.1110370502
6000000,-0.0101105,-0.01294149991,0.07660343661,0.1098586478
6100000,0.0298455425,-0.007686282664,-0.07320819382,-0.1086616652
6200000,-0.009068177023,-0.01196526592,0.06991239015,0.1074476256
6300000,0.02850105288,-0.008292906862,-0.0667133722,-0.1062179901
6400000,-0.008087322163,-0.01110703859,0.06360857486,0.1049741604
6500000,0.02723227788,-0.008802939806,-0.06059551676,-0.1037174805
6600000,-0.007165801417,-0.01035255741,0.05767179601,0.10244924
6700000,0.02603581562,-0.009228660731,-0.05483508631,-0.1011706754
6800000,-0.006301222147,-0.009689347618,0.05208313331,0.09988297239
6900000,0.024908171,-0.009580797307,-0.04941375116,-0.09858726824
7000000,-0.00549103169,-0.009106482975,0.04682481934,0.09728465309
7100000,0.02384582761,-0.009868730355,-0.04431427976,-0.09597617206
7200000,-0.004732592608,-0.008594382304,0.04188013388,0.09466282681
7300000,0.02284530104,-0.01010066988,-0.03952044022,-0.09334557721
7400000,-0.004023239701,-0.008144634681,0.03723331185,0.09202534287
7500000,0.02190317811,-0.01028380674,-0.03501691415,-0.09070300462
7600000,-0.003360322807,-0.007749848882,0.03286946267,0.08937940592
7700000,0.02101614491,-0.0104244435,-0.03078922108,-0.08805535418
7800000,-0.002741238481,-0.00740352351,0.02877449934,0.08673162213
7900000,0.02018100632,-0.01052810753,-0.02682365187,-0.08540894897
8000000,-0.002163453022,-0.007099934734,0.02493507589,0.0840880416
8100000,0.01939469891,-0.01059964897,-0.02310720984,-0.08276957579
8200000,-0.001624518749,-0.006834039093,0.02133853187,0.08145419721
8300000,0.01865429875,-0.01064332558,-0.01962755845,-0.08014252253
8400000,-0.001122085023,-0.006601389197,0.01797284303,0.0788351404
8500000,0.01795702535,-0.01066287648,-0.01637297474,-0.07753261244
8600000,-0.0006539052275,-0.006398060504,0.01482657724,0.07623547418
8700000,0.01730024265,-0.01066158628,-0.01333230758,-0.07494423592
8800000,-0.0002178406055,-0.006220587604,0.01188885508,0.07365938365
8900000,0.01668145779,-0.01064234082,-0.01049494035,-0.07238137982
9000000,0.000188138281,-0.006065908708,0.009149314286,0.0711106642
9100000,0.01609831825,-0.01060767588,-0.007850757165,-0.06984765464
9200000,0.0005659519086,-0.005931317213,0.00659807775,0.06859274778
9300000,0.01554860786,-0.01055981963,-0.005390112455,-0.06734631982
9400000,0.0009174135021,-0.005814419378,0.004225724538,0.06610872719
9500000,0.01503024188,-0.01050072975,-0.003103803339,-0.06488030721
9600000,0.001244231737,-0.005713097298,0.002023263546,0.06366137876
9700000,0.01454126165,-0.01043212588,-0.0009830444972,-0.06245224291
9800000,0.001548014155,-0.005625476472,-1.789049174e-05,0.06125318351
9900000,0.01407982878,-0.01035551812,0.0009805547657,-0.06006446776
10000000,0.001830271069,-0.005549897355,-0.001905938946,0.05888634681
10100000,0.01364421928,-0.01027223189,0.00279501152,-0.0577190563
10200000,0.002092419786,-0.00548489039,-0.003648719405,0.05656281686
10300000,0.01323281754,-0.01018342989,0.004467988497,-0.05541783466
10400000,0.002335789015,-0.005429154047,-0.005253724185,0.05428430188
10500000,0.01284411039,-0.01009013126,0.006006811861,-0.05316239721
10600000,0.002561623351,-0.005381535514,-0.006728117398,0.05205228629
10700000,0.01247668127,-0.009993228534,0.007418487621,-0.05095412219
10800000,0.00277108777,-0.005341013682,-0.008078750752,0.04986804583
10900000,0.01212920458,-0.009893502492,0.008709716845,-0.04879418639
11000000,0.002965272059,-0.005306684148,-0.009312178207,0.04773266174
11100000,0.0118004402,-0.009791635267,0.009886909795,-0.04668357886
11200000,0.003145195144,-0.005277745976,-0.01043466961,0.04564703415
11300000,0.01148922821,-0.009688221891,0.01095619909,-0.04462311388
11400000,0.003311809292,-0.005253490011,-0.01145222344,0.04361189452
11500000,0.01119448393,-0.00958378048,0.01192345201,-0.0426134431
11600000,0.003466004145,-0.005233288546,-0.01237057866,0.04162781752
11700000,0.01091519312,-0.009478761225,0.01279428202,-0.04065506693
11800000,0.003608610598,-0.005216586181,-0.01319522591,0.03969523202
11900000,0.0106504075,-0.009373554326,0.01357405957,-0.03874834534
12000000,0.003740404482,-0.005202891731,-0.01393141801,0.03781443159
12100000,0.01039924044,-0.009268497011,0.01426792228,-0.03689350794
12200000,0.003862110074,-0.005191771057,-0.01458417978,0.03598558429
12300000,0.01016086298,-0.009163879736,0.01488078452,-0.03509066355
12400000,0.003974403415,-0.005182840712,-0.01515831741,0.03420874192
12500000,0.009934500011,-0.009059951672,0.0154173465,-0.03333980914
12600000,0.004077915447,-0.005175762298,-0.01565842727,0.03248384875
12700000,0.009719426748,-0.008956925562,0.01588210284,-0.03164083832
12800000,0.004173234969,-0.005170237468,-0.01608890426,0.03081074973
12900000,0.009514965385,-0.008854982017,0.01627935071,-0.02999354933
13000000,0.004260911419,-0.005166003477,-0.01645394976,0.02918919824
13100000,0.009320481971,-0.008754273324,0.01661319757,-0.02839765251
13200000,0.004341457484,-0.005162829232,-0.01675757916,0.02761886338
13300000,0.00913538349,-0.008654926822,0.01688756857,-0.02685277744
13400000,0.004415351555,-0.005160511782,-0.0170036291,0.02609933686
13500000,0.008959115127,-0.008557047885,0.01710621353,-0.02535847959
13600000,0.004483040018,-0.005158873194,-0.01719576429,0.0246301395
13700000,0.008791157716,-0.008460722578,0.01727271369,-0.02391424663
13800000,0.004544939404,-0.005157757773,-0.0173374841,0.02321072732
13900000,0.008631025354,-0.00836602,0.01739048812,-0.02251950439
