case,label_length_m,csv,raw_freq_min_hz,raw_freq_max_hz,raw_points,raw_step_median_hz,target_start_hz,target_stop_hz,target_points,actual_step_hz,ifft_Dmax_assumed_eps2p23_m,distance_sample_m,selected_peak_m,selected_peak_real,selected_peak_abs,selected_peak_ratio_to_label,selected_peak_Dmax_ratio,edge_peak_m,edge_peak_abs,edge_peak_to_selected_abs,snr_like_peak_to_median_bg,coverage_comment
威海-543m,543,威海供电公司电缆-A相.csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,640.3866982492237,983552.0856315846,983552.0856315846,1.1793493522085152,0.21268439036593395,3004.9493383755703,891472.9725505507,0.9063810504535653,18.588481498601052,
无锡-1000m,1000,藕光.db8-A相.csv,9000.0,200000000.0,50000,3999.900000002235,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,1203.9872171629218,999760.1239992948,999760.1239992948,1.2039872171629218,0.3998666555547615,3004.6984031489833,603513.9795253085,0.6036587827799123,27.08286354777864,
某地-2000m,2000,2025-11-24 11.22.36-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,2309.3568902772754,-350504.34883263236,350504.34883263236,1.1546784451386376,0.766980581715396,3004.9493383755703,2631182.097687298,7.506845796494528,10.96648824201956,
某地-2400m,2400,2025-10-27 10.32.26-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,2950.747329432846,-444092.30126758426,444092.30126758426,1.2294780539303525,0.9799983331947562,3004.9493383755703,2580004.909413479,5.809614132128171,14.953109341867906,
某地-250m,250,2025-10-29 15.52.10-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,300.118530997677,3357689.6317896247,3357689.6317896247,1.200474123990708,0.09967497291444241,3004.9493383755703,1929542.2303197049,0.5746636651736249,37.808190940707924,
某地-300m,300,2025-9-16 12.02.15-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,374.3953580673362,1621596.1172935565,1621596.1172935565,1.2479845268911207,0.12434369530798334,3004.9493383755703,2696827.6991017,1.6630699039923114,14.567084360294885,
某地-780m,780,2025-6-5 12.48.52-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,926.4528565580464,2324084.7883600434,2324084.7883600434,1.187760072510316,0.3076923076924092,3004.9493383755703,2110038.282912521,0.9079007330027056,56.44387056895712,
深圳-830m,830,2025-5-30 11.43.53-A相[末端开路].csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,972.1230677968233,952554.4191805461,952554.4191805461,1.1712326118034015,0.3228602383533026,3004.9493383755703,2654574.2759158574,2.786795402408093,18.56325482612871,
莱芜-1500m,1500,2024-4-17 15.30.54-A (2).csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,1846.8832676780123,-710789.6068161149,710789.6068161149,1.2312555117853416,0.613384448704261,3004.9493383755703,2323656.8425839525,3.269120454634187,15.311452846254317,
莱芜-1600m,1600,2024-4-17 15.30.54-A.csv,9000.0,1000000000.0,50000,697.0,9000.0,200000000.0,6000,33337.389564927485,3010.9717838126576,0.25093522658667666,1846.8832676780123,-710789.6068161149,710789.6068161149,1.1543020422987578,0.613384448704261,3004.9493383755703,2323656.8425839525,3.269120454634187,15.282857466724801,
