case,length,csv,f_max,n_raw,df_med,combo,df_hz,stop_hz,available,dmax,dd,N,detectable,alias_margin,peak_m,peak_error,peak_abs,bg90,bgmed,score90,tol,folded_m
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,3.2379980427731354,2936.348360120552,-163.65163987944788,18375.163514567055,44461.23101321652,14088.171847908088,0.41328508221252047,350.0,
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,2.158665361848757,3421.8915476458997,321.89154764589966,32218.426598986473,57522.64959242695,20991.58176868258,0.560099835930161,350.0,
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,1.6189990213865677,3430.759152380166,330.75915238016614,20591.41968793993,59033.27035026274,18553.54550586883,0.3488104176808203,350.0,
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,1.2951992171092541,3434.473507570747,334.4735075707472,56726.17321644061,98343.70884487989,25742.77403003871,0.5768154758726488,350.0,
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,1.0793326809243784,3278.671365522641,178.67136552264083,198334.33112421495,63712.272406884396,17155.285630950177,3.1129690345620764,350.0,
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,False,0.8094995106932839,,,,,,,,590.55151685082
大芬-3100m,3100.0,/mnt/data/cable_field_data/大芬-3100m/大芬F18正测1-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.16189990213865676,,,,,,,,88.66182022098428
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,18.48580834732361,639.4714206484758,96.47142064847583,787951.1560733864,36975.129804143806,2357.6894226711897,21.31030128216293,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,12.323872231549071,639.8060472422218,96.80604724222178,959346.2260537458,71945.62763621217,13953.447340549328,13.334322843142187,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,9.242904173661804,639.4714206484758,96.47142064847583,1153481.1306747692,90807.52038273911,20249.985065039502,12.702484615955061,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,7.394323338929443,639.6721966047235,96.67219660472347,1132102.21467833,87844.61326869861,23046.050029970273,12.88755419999929,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,6.161936115774536,639.4714206484759,96.47142064847594,1160434.5788055635,101604.01349373067,28783.91039360105,11.421149016688858,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,4.621452086830902,639.4714206484758,96.47142064847583,1150446.2020710956,112578.33216773595,35123.1800183336,10.219073066005185,97.74,
威海-543m,543.0,/mnt/data/cable_field_data/威海-543m/威海供电公司电缆-A相.csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.9242904173661803,,,,,,,,41.11030337016405
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,1.968194888744455,5301.489124716799,201.48912471679887,63323.6529726837,110429.13291387052,25413.892969364802,0.5734324928737161,350.0,
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,1.3121299258296364,5244.267977186245,144.26797718624493,88940.60692309804,82250.66939085914,14630.815762663122,1.0813359645797895,350.0,
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,False,0.9840974443722275,,,,,,,,81.10303370164002
