% Model,RG58-RLGC.mph,,,,,
% Version,COMSOL 6.3.0.290,,,,,
% Date,"Sep 3 2026, 20:13",,,,,
% Table,浼犺緭绾垮弬鏁?(tlp1) 1 - ,,,,,
% freq (Hz),单位长度串联电阻(Ohm/m),单位长度串联电感(H/m),单位长度并联电导(S/m),单位长度并联电容(F/m),特性阻抗（Ohm）,传播常数 (1/m)
0,0.026286144,NaN,5.29E-14,NaN,NaN,NaN
20000,0.028104175,3.23E-07,5.29E-14,1.05E-10,58.258314358657216-18.204139783220715i,2.4120312418889932E-4+7.71917124535953E-4i
40000,0.032079148,3.14E-07,5.29E-14,1.05E-10,55.656877230225184-10.875049194647895i,2.881867383983518E-4+0.0014748966612584398i
60000,0.036395995,3.06E-07,5.29E-14,1.05E-10,54.51356797639437-8.398175976617512i,3.3382510222120654E-4+0.002166898775616812i
80000,0.04049688,2.99E-07,5.29E-14,1.05E-10,53.7519178561291-7.107630639665321i,3.767017233035663E-4+0.0028488312010311384i
100000,0.044323238,2.94E-07,5.29E-14,1.05E-10,53.18668188418023-6.289495570834481i,4.1667609405846473E-4+0.0035235923870246275i
120000,0.047887412,2.90E-07,5.29E-14,1.05E-10,52.74219546216042-5.710434467647841i,4.5397628495601135E-4+0.0041929744475720865i
140000,0.051204732,2.86E-07,5.29E-14,1.05E-10,52.379995638804175-5.269917846250121i,4.887813752157683E-4+0.004858209729714565i
160000,0.054294686,2.83E-07,5.29E-14,1.05E-10,52.078158311031714-4.917778506703141i,5.212807834348575E-4+0.0055202451640294255i
180000,0.057181814,2.81E-07,5.29E-14,1.05E-10,51.82270713829772-4.626499972348384i,5.517061650620682E-4+0.006179813475848986i
200000,0.059892925,2.79E-07,5.29E-14,1.05E-10,51.60387223121039-4.379761614031009i,5.803142518977978E-4+0.006837464000550166i
220000,0.062454006,2.77E-07,5.29E-14,1.05E-10,51.41440264532826-4.167158904227614i,6.073590542296751E-4+0.0074935954066795i
240000,0.064888252,2.75E-07,5.29E-14,1.05E-10,51.24873663271507-3.981611744848076i,6.330717268306001E-4+0.008148490645802796i
260000,0.06721526,2.74E-07,5.29E-14,1.05E-10,51.10253607440785-3.8180298586016455i,6.576509261406766E-4+0.008802348667538571i
280000,0.069450996,2.73E-07,5.29E-14,1.05E-10,50.972387275749874-3.6725922265616484i,6.812609715766109E-4+0.00945530998232851i
300000,0.071608175,2.71E-07,5.29E-14,1.05E-10,50.8555886532177-3.5423372001542974i,7.040344686372645E-4+0.010107475707167825i
320000,0.073696793,2.70E-07,5.29E-14,1.05E-10,50.74999159215097-3.424915587048092i,7.260768963651678E-4+0.01075892100471033i
340000,0.075724675,2.69E-07,5.29E-14,1.05E-10,50.65387823995841-3.3184328616804026i,7.474716404575329E-4+0.011409704190309572i
360000,0.077697962,2.69E-07,5.29E-14,1.05E-10,50.56586688874755-3.2213425297653835i,7.682846823411989E-4+0.012059872703720626i
380000,0.079621518,2.68E-07,5.29E-14,1.05E-10,50.48483861920857-3.1323704768123863i,7.885686109554185E-4+0.012709466911256628i
400000,0.081499255,2.67E-07,5.29E-14,1.05E-10,50.409880479140476-3.0504591602302993i,8.083658787975748E-4+0.013358522457825048i
420000,0.083334378,2.66E-07,5.29E-14,1.05E-10,50.34024151773295-2.974725203873381i,8.277113504756056E-4+0.014007071678777298i
440000,0.085129579,2.66E-07,5.29E-14,1.05E-10,50.27529878161861-2.9044264759374787i,8.466342444278316E-4+0.01465514442034445i
460000,0.086887165,2.65E-07,5.29E-14,1.05E-10,50.21453100183916-2.8389361356499316i,8.65159581078928E-4+0.015302768500567221i
480000,0.088609163,2.64E-07,5.29E-14,1.05E-10,50.1574982006398-2.777721951037713i,8.833092439134268E-4+0.015949969960847115i
500000,0.09029739,2.64E-07,5.29E-14,1.05E-10,50.103825845958276-2.7203296887230537i,9.011027451729798E-4+0.016596773202661903i
520000,0.091953498,2.63E-07,5.29E-14,1.05E-10,50.05319249626171-2.6663696969753623i,9.185577711207817E-4+0.01724320106698868i
540000,0.093579012,2.63E-07,5.29E-14,1.05E-10,50.00532012464647-2.615506019330163i,9.356905659701103E-4+0.01788927488999772i
560000,0.095175355,2.62E-07,5.29E-14,1.05E-10,49.95996650166257-2.5674475284421177i,9.525161998532562E-4+0.01853501455329921i
580000,0.096743857,2.62E-07,5.29E-14,1.05E-10,49.91691916322767-2.521940681259066i,9.690487549249524E-4+0.019180438537695025i
600000,0.098285772,2.62E-07,5.29E-14,1.05E-10,49.87599060209551-2.4787635804460306i,9.853014547369012E-4+0.01982556398374244i
620000,0.099802285,2.61E-07,5.29E-14,1.05E-10,49.83701440738517-2.4377210914269356i,0.0010012867550907942+0.020470406759456154i
640000,0.101294513,2.61E-07,5.29E-14,1.05E-10,49.79984214156454-2.398640814680992i,0.0010170164093242678+0.02111498153378254i
660000,0.102763515,2.61E-07,5.29E-14,1.05E-10,49.7643407940475-2.3613697525583275i,0.0010325015170731028+0.021759301853918875i
680000,0.104210288,2.60E-07,5.29E-14,1.05E-10,49.73039068814272-2.3257715413506244i,0.0010477525626927352+0.022403380224428636i
700000,0.105635779,2.60E-07,5.29E-14,1.05E-10,49.69788374652701-2.291724144438765i,0.0010627794474538565+0.023047228186224525i
720000,0.107040877,2.60E-07,5.29E-14,1.05E-10,49.66672204235273-2.2591179224330302i,0.0010775915181687405+0.023690856393904076i
740000,0.108426423,2.59E-07,5.29E-14,1.05E-10,49.6368165793813-2.227854012322778i,0.0010921975938856456+0.02433427469017909i
