Frequency,S11_Real,S11_Imaginary,
2500,-0.2707529585,-0.3783125338,
202519,0.5810728435,-0.8114674694,
402539,-0.347993034,-0.9252180255,
602559,-0.8543285097,-0.149178061,
802579,-0.5689348931,0.5812402887,
1002598,0.1461575864,0.7749075176,
1202618,0.7207690221,0.330817835,
1402638,0.6919644009,-0.4043347988,
1602658,0.07418467112,-0.7960691913,
1802677,-0.5820210405,-0.5128706494,
2002697,-0.7229432661,0.1544157803,
2202717,-0.2956161745,0.6476323481,
2402737,0.3478279919,0.6115269587,
2602756,0.7052018358,0.07204025587,
2802776,0.4778151771,-0.5365537044,
3002796,-0.1456875379,-0.6977852029,
3202816,-0.6238985734,-0.2964980426,
3402835,-0.5848591763,0.3054826242,
3602855,-0.08736845181,0.6299606813,
3802875,0.471764702,0.4165272872,
4002895,0.614511748,-0.1697962555,
4202914,0.213707411,-0.6101719367,
4402934,-0.3565842711,-0.5375567412,
4602954,-0.6284789557,-0.05548575027,
4802974,-0.4217148866,0.4410225726,
5002993,0.09865095859,0.5849983483,
5203013,0.5310125794,0.2505192934,
5403033,0.5116712869,-0.3006273379,
5603053,0.05272629816,-0.5997155859,
5803072,-0.4423748335,-0.4071980605,
6003092,-0.5812259396,0.08920742936,
6203112,-0.2783581714,0.4947711217,
6403132,0.230012288,0.5008654874,
6603151,0.5355964535,0.09037263338,
6803171,0.3749803622,-0.3965440262,
7003191,-0.1088041442,-0.539201057,
7203211,-0.4935138293,-0.2351704271,
7403230,-0.4764389063,0.2429272091,
7603250,-0.0864624168,0.5123051855,
7803270,0.3648404546,0.3592304487,
8003290,0.5079337565,-0.09804151916,
8203309,0.2226468365,-0.4792951572,
8403329,-0.2430167078,-0.4766530008,
8603349,-0.5183536172,-0.1156900715,
8803369,-0.405101022,0.3173589608,
9003388,0.004920243274,0.4946279716,
9203408,0.3973702635,0.2709713232,
9403428,0.4446430731,-0.1815154701,
9603448,0.1047800072,-0.4755912054,
9803467,-0.3217640616,-0.3709981118,
10003487,-0.4830633014,0.02600778483,
10203507,-0.2621381649,0.3861561009,
10403527,0.1604696591,0.4204567988,
10603546,0.4353451278,0.09431206529,
10803566,0.3257467916,-0.3184647549,
11003586,-0.06671231202,-0.466251699,
11203606,-0.4112879169,-0.2442199213,
11403625,-0.4455318515,0.1557385632,
11603645,-0.1535675921,0.4282709663,
11803665,0.2432978271,0.3634007186,
12003685,0.4288851267,0.002046906365,
12203704,0.2446946627,-0.3582809196,
12403724,-0.1477715245,-0.4176618755,
12603744,-0.4210091894,-0.1458472282,
12803764,-0.3687139072,0.228998394,
13003783,-0.04046638173,0.412024072,
13203803,0.3050155867,0.254559724,
13403823,0.375061149,-0.1231889983,
13603843,0.1041206097,-0.3946051732,
13803862,-0.2656479531,-0.3314467379,
14003882,-0.4321046373,-0.004592804507,
14203902,-0.2780850739,0.3226292563,
14403922,0.07515028142,0.40426771,
