Frequency,S11_Real,S11_Imaginary,
9000,-0.1370306068,0.7473627051,
109009,0.02575454429,-0.01037676671,
209018,0.03959697732,-0.02302453661,
309027,0.03750617898,-0.03435581095,
409036,0.02373265585,-0.04053950268,
509045,0.01108414976,-0.04361946381,
609054,-0.002102554589,-0.044670122,
709063,-0.01487924806,-0.03937873049,
809072,-0.02363212157,-0.02983734963,
909081,-0.02738447038,-0.01887192307,
1009091,-0.02551207402,-0.008800421577,
1109100,-0.01993127834,-0.001762897994,
1209109,-0.01210451207,0.001015395848,
1309118,-0.004419305597,-0.0004973841176,
1409127,0.001209610482,-0.005737130543,
1509136,0.00352849395,-0.01298899179,
1609145,0.001802680955,-0.02040289708,
1709154,-0.003397005748,-0.02636336814,
1809163,-0.01075786715,-0.02952516132,
1909172,-0.01900369508,-0.02895403543,
2009182,-0.02606540632,-0.02484792545,
2109191,-0.03066743661,-0.01812450349,
2209200,-0.03176511086,-0.01028749038,
2309209,-0.02918514937,-0.002715567483,
2409218,-0.02336746338,0.002577582453,
2509227,-0.0158366132,0.004541733597,
2609236,-0.007968849521,0.002860834553,
2709245,-0.001836224243,-0.00231221496,
2809254,0.001685607666,-0.009576908861,
2909263,0.001710275119,-0.01780427414,
3009273,-0.001470237641,-0.02516073822,
3109282,-0.007554336293,-0.03038869883,
3209291,-0.01506687838,-0.03291451077,
3309300,-0.02276363208,-0.03190406467,
3409309,-0.02900957322,-0.02838896821,
3509318,-0.03329194178,-0.02243820313,
3609327,-0.03470302947,-0.01591348593,
3709336,-0.03282481865,-0.00992846316,
3809345,-0.02897220326,-0.005809002911,
3909354,-0.02360188795,-0.004353382323,
4009364,-0.01884418424,-0.005861462585,
4109373,-0.01537931115,-0.009906004679,
4209382,-0.01434230414,-0.0150718339,
4309391,-0.01618177249,-0.02003078758,
4409400,-0.02038965662,-0.0241183126,
4509409,-0.0263639037,-0.02583890896,
4609418,-0.03284049364,-0.02461898856,
4709427,-0.03848753549,-0.0205667269,
4809436,-0.04223778375,-0.01424893499,
4909445,-0.04301082539,-0.006779168103,
5009455,-0.04087389877,0.0004124890845,
5109464,-0.03591623171,0.006333856055,
5209473,-0.02909839189,0.009669259102,
5309482,-0.02170874583,0.009730809003,
5409491,-0.01504584628,0.006686200778,
5509500,-0.01023375385,0.0007157270436,
5609509,-0.00912206774,-0.0061954927,
5709518,-0.01103220632,-0.01266162509,
5809527,-0.01551118255,-0.01764031165,
5909536,-0.02126757555,-0.01976773828,
6009546,-0.02763431061,-0.01948080719,
6109555,-0.03313231412,-0.01602694261,
6209564,-0.03689776948,-0.01055048361,
6309573,-0.03793040721,-0.003791058311,
6409582,-0.03574435376,0.002811737128,
6509591,-0.03120056725,0.00797460557,
6609600,-0.02452961979,0.01077156756,
6709609,-0.01754924295,0.0105837218,
6809618,-0.0111228623,0.007358456869,
6909627,-0.007214346549,0.001784490656,
7009637,-0.005419032736,-0.005194046285,
7109646,-0.006991009198,-0.01172289622,
7209655,-0.01083774218,-0.01691565656,
7309664,-0.01654641912,-0.0198113777,
7409673,-0.02269195881,-0.02014610437,
7509682,-0.02831620152,-0.01745872202,
7609691,-0.03195011398,-0.01277904003,
7709700,-0.03316136386,-0.006890755802,
7809709,-0.03148348711,-0.001169579066,
7909718,-0.02727037527,0.003301315153,
8009728,-0.02152914607,0.005339210054,
8109737,-0.01531996851,0.004409754671,
8209746,-0.009899392669,0.0001002923027,
8309755,-0.006998075023,-0.005702823904,
8409764,-0.006702487516,-0.01251479189,
