Frequency,S11_Real,S11_Imaginary,
9000,-0.3602460994,0.9886716488,
109009,0.8870577478,-0.6087403708,
209018,0.5579582383,-0.9168377526,
309027,0.1209500365,-1.039460932,
409036,-0.3538640864,-0.9185062526,
509045,-0.6779444659,-0.6121355501,
609054,-0.8446140019,-0.2292218,
709063,-0.8162193413,0.165187682,
809072,-0.6320022444,0.4942889254,
909081,-0.3376098771,0.7061465823,
1009091,0.01470305051,0.7698791383,
1109100,0.3560255217,0.675615804,
1209109,0.6213516051,0.4424505221,
1309118,0.7555926903,0.1155815973,
1409127,0.7282764508,-0.239022882,
1509136,0.5480952624,-0.5418879069,
1609145,0.2495902481,-0.7281708957,
1709154,-0.09600741884,-0.7602348335,
1809163,-0.4137810692,-0.6370508181,
1909172,-0.6393175146,-0.3905277356,
2009182,-0.7323085107,-0.07850492356,
2109191,-0.6827558266,0.2366773344,
2209200,-0.5039719816,0.4965278092,
2309209,-0.2368108373,0.6556528186,
2409218,0.07425089039,0.685704111,
2509227,0.3688784616,0.5779592116,
2609236,0.5883575615,0.3500238159,
2709245,0.6848108595,0.04785368366,
2809254,0.6355132817,-0.2659019755,
2909263,0.4561317965,-0.5213037179,
3009273,0.1836183712,-0.6700418011,
3109282,-0.1210461837,-0.6826955083,
3209291,-0.3961501989,-0.5637737555,
3309300,-0.589710562,-0.3417269624,
3409309,-0.6670442755,-0.06373501272,
3509318,-0.6203554589,0.2181098143,
3609327,-0.4579555889,0.4513958548,
3709336,-0.2128998272,0.5952583796,
3809345,0.0701819754,0.6196370881,
3909354,0.3420439267,0.5200802436,
4009364,0.5401351673,0.3026788071,
4109373,0.6210611884,0.02042832402,
4209382,0.5661203408,-0.2672330901,
4309391,0.3903393494,-0.496720578,
4409400,0.133605047,-0.6221537069,
4509409,-0.1457406433,-0.6219071468,
4609418,-0.3917608484,-0.5030721637,
4709427,-0.5598314459,-0.2944949535,
4809436,-0.6225590467,-0.03798589555,
4909445,-0.5734806551,0.2176178316,
5009455,-0.4218648554,0.4273231827,
5109464,-0.1976605775,0.5550962622,
5209473,0.06135208225,0.5767421858,
5309482,0.3079413065,0.4836509044,
5409491,0.4909392871,0.2904132163,
5509500,0.5702525357,0.03425091885,
5609509,0.52549811,-0.231153356,
5709518,0.3696887065,-0.4464512724,
5809527,0.1351615501,-0.5695123768,
5909536,-0.1253461869,-0.5752634858,
6009546,-0.3581316384,-0.4695320276,
6109555,-0.5186040702,-0.2760904137,
6209564,-0.5800592374,-0.03641787921,
6309573,-0.534925716,0.2037882316,
6409582,-0.3927217691,0.4006213136,
6509591,-0.1827884101,0.5195059664,
6609600,0.05903999927,0.5391093907,
6709609,0.2892829821,0.4523338182,
6809618,0.460060842,0.2716100129,
6909627,0.5339325763,0.0323769262,
7009637,0.4931534091,-0.2149099089,
7109646,0.3482739568,-0.4164053401,
7209655,0.1310347282,-0.5320912733,
7309664,-0.1115713017,-0.5397032053,
7409673,-0.329515289,-0.4427181046,
7509682,-0.4817168029,-0.2633179818,
7609691,-0.5414663665,-0.0396346824,
7709700,-0.5014500594,0.1867047271,
7809709,-0.3683202185,0.3732441635,
7909718,-0.1694214169,0.4861160241,
8009728,0.05982997894,0.5039401613,
8109737,0.2764883542,0.4201612143,
8209746,0.4373514186,0.2485758987,
8309755,0.5050016153,0.02214282028,
8409764,0.463965452,-0.2115089017,
8509773,0.3247911159,-0.4000057999,
8609782,0.1192315818,-0.5080248528,
8709791,-0.1089296112,-0.513667418,
8809800,-0.3129838567,-0.4226578693,
8909809,-0.4568154695,-0.2561891864,
9009819,-0.5159648128,-0.04719351485,
9109828,-0.4827039588,0.1661200322,
9209837,-0.3632202707,0.3446954519,
9309846,-0.1795847873,0.4566237155,
9409855,0.03555876033,0.4810311582,
9509864,0.2439014839,0.4106957839,
9609873,0.402764528,0.2533236224,
9709882,0.4760622795,0.0392945699,
9809891,0.4446557734,-0.1847401841,
9909900,0.3172055976,-0.3695916486,
10009910,0.123375293,-0.4775757962,
10109919,-0.09434158955,-0.4887294288,
10209928,-0.2912029157,-0.4055364339,
10309937,-0.4310873835,-0.2484707526,
10409946,-0.4901787073,-0.04986839945,
10509955,-0.4598083027,0.1539788426,
10609964,-0.3475204026,0.325662482,
10709973,-0.171559354,0.433349858,
10809982,0.03551687352,0.4555061879,
10909991,0.2341236865,0.3853166693,
11010001,0.3836046323,0.23159644,
11110010,0.449231011,0.02605998511,
11210019,0.4145654232,-0.1873989631,
11310028,0.2887631473,-0.3610281483,
11410037,0.1014716846,-0.4588113015,
11510046,-0.1057608293,-0.4643839268,
11610055,-0.2902206105,-0.380659211,
11710064,-0.419825115,-0.2302398305,
11810073,-0.4731658175,-0.04255690034,
11910082,-0.4448176884,0.1490439807,
12010092,-0.3395961182,0.3117275115,
12110101,-0.1752419601,0.4170116274,
12210110,0.02144597004,0.4421035402,
12310119,0.2119549052,0.3807516425,
12410128,0.3589570832,0.2388286377,
12510137,0.4277473697,0.04522121045,
12610146,0.4037049641,-0.1610804048,
12710155,0.2899698535,-0.3315084391,
12810164,0.1144078242,-0.4332335363,
12910174,-0.08376017368,-0.4472306232,
13010183,-0.2646065896,-0.3750370655,
13110192,-0.3953375332,-0.2352106783,
13210201,-0.454147037,-0.05609091507,
13310210,-0.4337508042,0.1295480634,
13410219,-0.3373973163,0.2890379581,
13510228,-0.1824445613,0.3944351228,
13610237,0.003808625968,0.4238890544,
13710246,0.1876602739,0.3696001331,
13810255,0.3309776874,0.2383213482,
13910265,0.4011884263,0.05515978636,
14010274,0.38073323,-0.1408139314,
14110283,0.2750397191,-0.3056296909,
14210292,0.1086494559,-0.403527093,
14310301,-0.08097497314,-0.4177045964,
14410310,-0.2537238484,-0.3483390871,
14510319,-0.3774406375,-0.2139774813,
14610328,-0.4316904133,-0.04250300937,
14710337,-0.4092070918,0.1345344986,
14810346,-0.3157054526,0.2850997418,
14910356,-0.1673139668,0.3835629269,
15010365,0.01021536947,0.410673481,
15110374,0.184259917,0.3588939818,
15210383,0.3213472646,0.2360808977,
15310392,0.3913345576,0.06356470462,
15410401,0.3781936911,-0.1226391692,
15510410,0.2846336935,-0.2830380009,
15610419,0.1308750614,-0.3846623044,
15710428,-0.04854134484,-0.4090567689,
15810437,-0.218351321,-0.353799621,
15910447,-0.346124111,-0.2333857777,
16010456,-0.4100146916,-0.07260270041,
16110465,-0.4008682083,0.09804157534,
16210474,-0.321442313,0.2490136081,
16310483,-0.1854459439,0.3527888362,
16410492,-0.01729204847,0.389426089,
16510501,0.1523187388,0.3502273496,
16610510,0.2891505517,0.2398569374,
16710519,0.3636591863,0.07867298156,
16810528,0.3593632335,-0.09912801448,
16910538,0.2753633382,-0.2556214557,
17010547,0.1318051603,-0.357304146,
17110556,-0.03927600437,-0.3846578432,
17210565,-0.2025599294,-0.334506493,
17310574,-0.3255146441,-0.2201540905,
17410583,-0.3865038668,-0.06626743887,
17510592,-0.3769106703,0.09781958267,
17610601,-0.2995850031,0.2413996684,
17710610,-0.1685510432,0.3388107474,
17810619,-0.006645466699,0.3714594217,
17910629,0.1546313472,0.3322690697,
18010638,0.2842548571,0.2251685523,
18110647,0.3545174319,0.07140260681,
18210656,0.3505929456,-0.09829274909,
18310665,0.2727499015,-0.2483402249,
18410674,0.1382972289,-0.3479685385,
18510683,-0.02453301172,-0.3787909563,
18610692,-0.1825188391,-0.336878311,
18710701,-0.3051522192,-0.2330196068,
18810710,-0.3719849869,-0.08878705728,
18910720,-0.371343723,0.06889841222,
19010729,-0.3054315749,0.2106911943,
19110738,-0.18502482,0.3119857967,
19210747,-0.03255028707,0.3531437595,
19310756,0.1242190995,0.3246381992,
19410765,0.2538616704,0.2293222474,
19510774,0.3295301391,0.08627373286,
19610783,0.3337942775,-0.07627163138,
19710792,0.2662404544,-0.2233820901,
19810801,0.141178363,-0.3241794198,
19910811,-0.01343075596,-0.3595024482,
20010820,-0.1657073123,-0.3233643344,
20110829,-0.2858100168,-0.2271656589,
20210838,-0.3519124942,-0.09013075337,
20310847,-0.3537170543,0.06079456791,
20410856,-0.2914420061,0.1975387408,
20510865,-0.1769371584,0.2946121489,
20610874,-0.03102343565,0.3338970128,
20710883,0.1187923831,0.3064037016,
20810892,0.2427751324,0.2153478175,
