Frequency,S11_Real,S11_Imaginary,
9000,-0.4113749675,1.193329715,
109009,-0.7325314219,0.4782227651,
209018,-0.4611019513,0.7440447995,
309027,-0.0922781642,0.8537426724,
409036,0.2948742378,0.7925133966,
509045,0.6060704452,0.557979575,
609054,0.8103165794,0.2392849654,
709063,0.8358773798,-0.1586523958,
809072,0.6699529297,-0.5234130224,
909081,0.3525346573,-0.7649042711,
1009091,-0.02976092436,-0.8301469254,
1109100,-0.3909554896,-0.7169391206,
1209109,-0.6550521245,-0.4599318817,
1309118,-0.7727591717,-0.1234376724,
1409127,-0.7333058012,0.2192640694,
1509136,-0.5509347021,0.5056302423,
1609145,-0.27084503,0.6837722534,
1709154,0.05822690586,0.7249258333,
1809163,0.373200715,0.6188286594,
1909172,0.6098297885,0.3834208837,
2009182,0.7182031104,0.06757169267,
2109191,0.6723871804,-0.2641453756,
2209200,0.4890043633,-0.5377382029,
2309209,0.2016723858,-0.6985582323,
2409218,-0.1211581059,-0.714733932,
2509227,-0.4134042598,-0.5888977263,
2609236,-0.6171918326,-0.3531535981,
2709245,-0.6975354809,-0.05850749394,
2809254,-0.6444212112,0.2382890464,
2909263,-0.4699512248,0.4812251734,
3009273,-0.2118031599,0.6277529116,
3109282,0.08607350055,0.6502827421,
3209291,0.3664082244,0.5391680666,
3309300,0.5698791047,0.3154702158,
3409309,0.6538653379,0.02256676768,
3509318,0.5965369577,-0.2747518083,
3609327,0.4186867475,-0.5141789507,
3709336,0.1544367985,-0.6481977587,
3809345,-0.1352220901,-0.6506066996,
3909354,-0.3981485582,-0.5336472664,
4009364,-0.5742761558,-0.3196647392,
4109373,-0.6452495671,-0.05569780915,
4209382,-0.5995946014,0.2123699704,
4309391,-0.4444382397,0.4348034774,
4409400,-0.2122436324,0.5725629239,
4509409,0.05902319448,0.5989405727,
4609418,0.3183647677,0.5030291819,
4709427,0.5105104971,0.301194512,
4809436,0.5931442786,0.03183568744,
4909445,0.5447369695,-0.2447690296,
5009455,0.3801652179,-0.4683010787,
5109464,0.1344224425,-0.5929016503,
5209473,-0.1358479128,-0.5955459841,
5309482,-0.3748275387,-0.483028744,
5409491,-0.5384085585,-0.2817870108,
5509500,-0.5993833408,-0.0336040213,
5609509,-0.5509513569,0.2128656,
5709518,-0.4032222327,0.4142874258,
5809527,-0.1878937991,0.5363387306,
5909536,0.06214760356,0.5562210355,
6009546,0.2996399067,0.4659959322,
6109555,0.4753952073,0.2781719957,
6209564,0.549735703,0.03119436665,
6309573,0.506126088,-0.2236292188,
6409582,0.3549391205,-0.4306185302,
6509591,0.1291443093,-0.5479796827,
6609600,-0.1210023501,-0.5533394867,
6709609,-0.3448437474,-0.4507229927,
6809618,-0.4991575726,-0.2645035502,
6909627,-0.558769507,-0.03346438504,
7009637,-0.5145346341,0.1990728758,
7109646,-0.3765671169,0.3896496319,
7209655,-0.1713667486,0.5044331988,
7309664,0.06418024613,0.5211086014,
7409673,0.2869854985,0.4343840353,
7509682,0.450746001,0.256488425,
7609691,0.5192535304,0.02416898858,
7709700,0.4776148372,-0.2152074537,
7809709,0.335725618,-0.4084077409,
7909718,0.1247803929,-0.5185723105,
8009728,-0.1100335946,-0.5252858479,
8109737,-0.3199036165,-0.4309553636,
8209746,-0.4673422617,-0.2586566829,
8309755,-0.5263726173,-0.04219932786,
8409764,-0.4889301227,0.1780112089,
8509773,-0.3613945807,0.3601147265,
8609782,-0.167644367,0.4714447275,
8709791,0.05562280046,0.4898948712,
8809800,0.2677726143,0.4080209701,
8909809,0.4234238053,0.2390290924,
9009819,0.487596738,0.01587079438,
9109828,0.4437884164,-0.2115422262,
9209837,0.3044364614,-0.3923622651,
9309846,0.1029654789,-0.4903913451,
9409855,-0.1151753579,-0.4918157398,
9509864,-0.3105815765,-0.4014551205,
9609873,-0.4477887571,-0.2374036964,
9709882,-0.5017679666,-0.03323707525,
9809891,-0.4655981351,0.1734155448,
9909900,-0.3455657164,0.3453253899,
10009910,-0.1633143487,0.4512891485,
10109919,0.04926314715,0.4699968665,
10209928,0.2508890312,0.3939335814,
10309937,0.4009430438,0.2359280439,
10409946,0.4660614148,0.02605095162,
10509955,0.4307797738,-0.1913407299,
10609964,0.3043174878,-0.3686515065,
10709973,0.1150977352,-0.4707650686,
10809982,-0.09616530134,-0.4803071835,
10909991,-0.2873730557,-0.3997796729,
11010001,-0.4243868903,-0.2475822844,
11110010,-0.4840912479,-0.05495130853,
11210019,-0.4584764829,0.1435329293,
11310028,-0.3524422327,0.3132868036,
11410037,-0.1838223206,0.4228689821,
11510046,0.01753735671,0.4506266504,
11610055,0.2133702967,0.3877793426,
11710064,0.3633697701,0.2436302133,
11810073,0.4346632201,0.04666309291,
11910082,0.4095709315,-0.1621817167,
12010092,0.2948081772,-0.3360298904,
12110101,0.1163340954,-0.4397101207,
12210110,-0.08620945539,-0.4538021694,
12310119,-0.2710362439,-0.3786170716,
12410128,-0.4039490752,-0.2344170361,
12510137,-0.4614347249,-0.0514742505,
12610146,-0.4375390594,0.1376040833,
12710155,-0.3367837955,0.2996561882,
12810164,-0.1751491651,0.4046635629,
12910174,0.01656635548,0.4308605308,
13010183,0.2030863463,0.3707850413,
13110192,0.3461149371,0.233097608,
13210201,0.4136700084,0.04486951499,
13310210,0.3896019084,-0.1548401117,
13410219,0.2792388099,-0.3209000312,
13510228,0.1090584125,-0.4196586652,
13610237,-0.08433690405,-0.4333575868,
13710246,-0.2608705026,-0.36291862,
13810255,-0.3880175973,-0.2263441979,
13910265,-0.4456627528,-0.05165752277,
14010274,-0.4260235784,0.1294367363,
14110283,-0.3326455327,0.2856389934,
14210292,-0.182684299,0.3889369228,
14310301,-0.001841758161,0.4203247821,
14410310,0.177379533,0.370481374,
14510319,0.3192824061,0.2469805062,
14610328,0.3928850801,0.07167363161,
14710337,0.3809158381,-0.1190244976,
14810346,0.2848924261,-0.2833942824,
14910356,0.1272794612,-0.3859307728,
15010365,-0.05637378977,-0.4074410426,
15110374,-0.2269259147,-0.3469845231,
15210383,-0.3523391925,-0.2218296937,
15310392,-0.4118169977,-0.05787412218,
15410401,-0.3968937669,0.114573404,
15510410,-0.3101784292,0.264097592,
15610419,-0.168115409,0.3637380545,
15710428,0.004546517363,0.3927271884,
15810437,0.1744404323,0.3441473654,
15910447,0.3080844457,0.2248128667,
16010456,0.374933103,0.05691230174,
16110465,0.3609517147,-0.1240548277,
16210474,0.2671232047,-0.2786778708,
16310483,0.1160363666,-0.3750972326,
16410492,-0.05992270465,-0.3946352192,
16510501,-0.2242921275,-0.3363132252,
16610510,-0.3449539982,-0.2148959127,
16710519,-0.4014136113,-0.05596013401,
16810528,-0.3872299147,0.1104249729,
16910538,-0.3046871287,0.2546243611,
17010547,-0.1697103941,0.3509156497,
17110556,-0.005994105328,0.3821299603,
17210565,0.1570765703,0.3401792741,
17310574,0.2876535731,0.2321679214,
17410583,0.3596198249,0.07692248157,
17510592,0.355886842,-0.0954459935,
17610601,0.2768212299,-0.2486001328,
17710610,0.1383694093,-0.3506261754,
17810619,-0.02878608496,-0.3803108373,
17910629,-0.189534676,-0.3342090464,
18010638,-0.3126060858,-0.2246613568,
18110647,-0.3755829726,-0.07502862601,
