Frequency,S11_Real,S11_Imaginary,
2500,-0.5728170031,0.231797456,
202519,0.9913990076,-0.103816772,
402539,0.9590831076,-0.2317328267,
602559,0.9324823394,-0.3779897932,
802579,0.8739809197,-0.5017975167,
1002598,0.7999015158,-0.6019271261,
1202618,0.7131471368,-0.7051668459,
1402638,0.6090634132,-0.7853918564,
1602658,0.5029830625,-0.8553992429,
1802677,0.3856896513,-0.9110616251,
2002697,0.2625274958,-0.9518753937,
2202717,0.1384216016,-0.9726966687,
2402737,0.01262906727,-0.9806482891,
2602756,-0.1149895309,-0.9676774129,
2802776,-0.2375427159,-0.9439201487,
3002796,-0.3564260739,-0.9014212004,
3202816,-0.4689973097,-0.8437326468,
3402835,-0.5715926572,-0.7747538148,
3602855,-0.6642113783,-0.6933615384,
3802875,-0.7439182925,-0.5989007649,
4002895,-0.8120206641,-0.4969940597,
4202914,-0.8649745979,-0.3883456188,
4402934,-0.9036436441,-0.2741232879,
4602954,-0.9269174983,-0.156076404,
4802974,-0.9369061474,-0.03782548356,
5002993,-0.9303084763,0.08162932975,
5203013,-0.9082937994,0.1989912812,
5403033,-0.8739222869,0.3115966925,
5603053,-0.824315989,0.4176871396,
5803072,-0.7626370296,0.5175222413,
6003092,-0.6895974928,0.6077498201,
6203112,-0.6057722695,0.6887250211,
6403132,-0.511364238,0.7591328066,
6603151,-0.4114243354,0.8162527898,
6803171,-0.30280843,0.8598917982,
7003191,-0.1920601699,0.890591657,
7203211,-0.07535817333,0.9077573542,
7403230,0.03962107714,0.908246538,
7603250,0.1544360988,0.8947050793,
7803270,0.2676591378,0.8672566474,
8003290,0.3763664002,0.8256365796,
8203309,0.4773426717,0.77116572,
8403329,0.5717726951,0.7035327776,
8603349,0.6552683667,0.625396048,
8803369,0.7305446859,0.5360989595,
9003388,0.7931642355,0.4387157791,
9203408,0.8427063349,0.334790161,
9403428,0.8803017852,0.2252614087,
9603448,0.902661883,0.1106857622,
9803467,0.9100734877,-0.003723713357,
10003487,0.901864835,-0.1193082535,
