Frequency,S11_Real,S11_Imaginary,
2500,0.6992092452,-0.05869406116,
202519,-1.035686498,0.08982221855,
402539,-0.9698270557,0.2235895349,
602559,-0.8685412231,0.3840565697,
802579,-0.8121954386,0.4942209154,
1002598,-0.7383458882,0.5928281964,
1202618,-0.6546322127,0.6820765816,
1402638,-0.5608088778,0.7586637762,
1602658,-0.4598045353,0.8210947497,
1802677,-0.3498265088,0.8717534521,
2002697,-0.2378897556,0.9058903618,
2202717,-0.1186897371,0.9296335199,
2402737,0.001064086587,0.9356787014,
2602756,0.1204313538,0.9285761553,
2802776,0.2366456349,0.9057501542,
3002796,0.3504730738,0.8671982756,
3202816,0.4566889961,0.8161403121,
3402835,0.5569739433,0.7518804522,
3602855,0.648186847,0.6745898734,
3802875,0.7292273069,0.5864659725,
4002895,0.7983499432,0.4892963707,
4202914,0.8535027977,0.381965431,
4402934,0.8957485188,0.271236436,
4602954,0.9251637347,0.1548592069,
4802974,0.9360915229,0.03560526,
5002993,0.9325420717,-0.08453451379,
5203013,0.9155649846,-0.202453013,
5403033,0.8821069834,-0.3172934956,
5603053,0.8341398528,-0.427322075,
5803072,0.7722962684,-0.5298511065,
6003092,0.6981033912,-0.622808355,
6203112,0.6134123096,-0.706228957,
6403132,0.517708872,-0.7777930866,
6603151,0.4151945559,-0.8374379707,
6803171,0.3060651012,-0.8828661988,
7003191,0.1899898226,-0.9139318221,
7203211,0.07351732707,-0.9292528644,
7403230,-0.04508886303,-0.9323306989,
7603250,-0.1643539959,-0.9167326366,
7803270,-0.278408935,-0.8860852792,
8003290,-0.3875295603,-0.8429852556,
8203309,-0.49140272,-0.7856759915,
8403329,-0.5852783786,-0.7146344948,
8603349,-0.6704781524,-0.6332801905,
8803369,-0.7426694706,-0.5418115616,
9003388,-0.8040364397,-0.441932522,
9203408,-0.8509818988,-0.335611611,
9403428,-0.8842783693,-0.223977721,
9603448,-0.9023316138,-0.1092180337,
9803467,-0.9064313156,0.006532131613,
10003487,-0.8958554715,0.1217239098,
10203507,-0.8703296745,0.2341126181,
10403527,-0.8306718923,0.341373702,
10603546,-0.7788712632,0.4433149415,
10803566,-0.7137347677,0.5378655486,
11003586,-0.6390233939,0.6228391643,
11203606,-0.5531992321,0.6973950067,
11403625,-0.458078612,0.7611038481,
11603645,-0.356691226,0.8115569081,
11803665,-0.2503403798,0.8497049743,
12003685,-0.139291329,0.8729518897,
12203704,-0.02587784121,0.8818089053,
12403724,0.08704848431,0.8768413654,
12603744,0.197665325,0.8583244893,
12803764,0.3051771478,0.8250592887,
13003783,0.4082799235,0.7781512727,
13203803,0.5041544131,0.7195467692,
13403823,0.5905720213,0.6492936717,
13603843,0.6699524997,0.5682474673,
13803862,0.7380822756,0.4784885613,
14003882,0.7937635375,0.3798772359,
14203902,0.8357400572,0.2762988596,
14403922,0.8659393011,0.1676130901,
14603941,0.8802315993,0.05625851599,
14803961,0.8824213211,-0.05724935474,
15003981,0.8691439154,-0.1680101037,
15204001,0.8422592692,-0.2769340868,
15404020,0.8007153657,-0.382740911,
15604040,0.7462908001,-0.4814071798,
15804060,0.6804529126,-0.5713237378,
16004080,0.60296852,-0.6540034699,
