Frequency,S11_Real,S11_Imaginary,
2500,-0.1060326135,-0.185627748,
202519,0.4739439201,-0.8927523883,
402539,-0.5641142638,-0.7623805708,
602559,-0.7742204941,0.2010888648,
802579,-0.1285472123,0.7300886812,
1002598,0.6020990341,0.4143008084,
1202618,0.6426911176,-0.367843702,
1402638,-0.02988633693,-0.7314285406,
1602658,-0.6313434374,-0.3262945197,
1802677,-0.5830401966,0.3629362182,
2002697,0.008288760351,0.6765318342,
2202717,0.5948232953,0.339927553,
2402737,0.6040364681,-0.3463992089,
2602756,0.002027267471,-0.6870178591,
2802776,-0.5693803913,-0.321366442,
3002796,-0.5016190661,0.3327877831,
3202816,0.09436689413,0.5534770273,
3402835,0.5368818969,0.1130574871,
3602855,0.3277314105,-0.4524573147,
3802875,-0.2446470297,-0.5070815787,
4002895,-0.5526764785,-0.05450425113,
4202914,-0.3250185593,0.4300900855,
4402934,0.2067809551,0.4880502928,
4602954,0.5311399577,0.0514030446,
4802974,0.3087737382,-0.4490584228,
5002993,-0.2272466242,-0.4986735503,
5203013,-0.5291859186,-0.0697533889,
5403033,-0.3121488964,0.3967356332,
5603053,0.1956143822,0.4330132219,
5803072,0.4645377332,0.001830497808,
6003092,0.2014111967,-0.426530679,
6203112,-0.2847172813,-0.3862908856,
6403132,-0.4733699479,0.0471107537,
6603151,-0.1955577554,0.4190500171,
6803171,0.2652109289,0.3602865941,
7003191,0.4362425493,-0.07136789954,
7203211,0.1383433245,-0.4214547548,
7403230,-0.2989624279,-0.3230595275,
7603250,-0.4118692688,0.09735844682,
7803270,-0.1010659543,0.3878899313,
8003290,0.2989188559,0.2538485272,
8203309,0.3721502826,-0.1595591626,
8403329,0.05037074108,-0.424476053,
8603349,-0.3362493502,-0.2852007809,
8803369,-0.4209047412,0.1127081489,
9003388,-0.1289125068,0.3954193078,
9203408,0.2676885847,0.2895741194,
9403428,0.3678702841,-0.1106037254,
9603448,0.06192904956,-0.3779951596,
9803467,-0.3021513393,-0.2288180896,
10003487,-0.3286392428,0.1501975687,
10203507,-0.007622835175,0.3369758941,
10403527,0.2997084009,0.1358963311,
10603546,0.2615836783,-0.2269856229,
10803566,-0.07220051987,-0.3653346128,
11003586,-0.35576037,-0.1500682827,
11203606,-0.322168113,0.2009270808,
11403625,-0.006155969796,0.3590916416,
11603645,0.2947985167,0.1678880514,
11803665,0.2770615152,-0.18849775,
12003685,-0.03983952052,-0.3409433079,
12203704,-0.3169691821,-0.1390868923,
12403724,-0.2720007742,0.1928780831,
12603744,0.03748543471,0.3100554791,
12803764,0.2856193954,0.08990626903,
13003783,0.2057176687,-0.2312891391,
13203803,-0.1113807561,-0.3107065616,
13403823,-0.3318267401,-0.07815739027,
13603843,-0.2433760254,0.2247599899,
13803862,0.06083289233,0.3004776609,
14003882,0.2735518225,0.07052231713,
14203902,0.1699013861,-0.221366525,
14403922,-0.1314197107,-0.2608775245,
14603941,-0.3033793719,-0.0188518177,
14803961,-0.176650341,0.2456830062,
15003981,0.1155484406,0.2694688816,
15204001,0.2859583045,0.02813721839,
15404020,0.162853591,-0.2436048114,
15604040,-0.131496297,-0.2747755298,
15804060,-0.3058755,-0.0398247789,
16004080,-0.1936164177,0.2256675528,
16204099,0.08981541897,0.257884496,
16404119,0.2503975531,0.02684412254,
16604139,0.1177713869,-0.2165194736,
16804159,-0.1524650903,-0.204941395,
17004178,-0.2605876331,0.03683914681,
17204198,-0.09964428854,0.2432692871,
17404218,0.1593451747,0.2041393605,
17604238,0.2563168665,-0.04127029697,
17804257,0.09342967221,-0.2502007477,
18004277,-0.167872904,-0.2168603526,
18204297,-0.2718650079,0.02217846996,
18404317,-0.1204124484,0.2313179575,
18604336,0.1346925345,0.2051284018,
18804356,0.2363107836,-0.02870214027,
19004376,0.08067926882,-0.2270754156,
19204396,-0.1635511494,-0.1840848415,
19404415,-0.2398600428,0.0474237241,
19604435,-0.07438731611,0.2235099751,
19804455,0.1591983057,0.1630799139,
20004475,0.2195473361,-0.07051814049,
20204494,0.04555893093,-0.235795749,
20404514,-0.1806990576,-0.1651112822,
20604534,-0.2275699574,0.06293111073,
20804554,-0.05313763382,0.2130098002,
21004573,0.1597362392,0.1311670293,
21204593,0.1883606593,-0.09341590894,
21404613,0.005666411292,-0.2245258644,
